,DateTime,22.3998 75.4489,22.4252 76.2179,23.0783 75.4211,23.0812 76.1904,tmax_mean
0,1980-06-01,40.92,41.82,41.39,41.96,41.5225
1,1980-06-02,40.46,41.95,41.49,42.4,41.575
2,1980-06-03,40.83,41.76,41.36,42.04,41.4975
3,1980-06-04,37.35,39.23,38.48,39.73,38.6975
4,1980-06-05,37.47,39.37,38.99,40.01,38.96
5,1980-06-06,37.28,39.67,37.59,40.18,38.68
6,1980-06-07,33.72,33.84,34.32,34.87,34.1875
7,1980-06-08,31.23,29.01,32.42,30.09,30.6875
8,1980-06-09,34.63,35.12,35.81,35.93,35.3725
9,1980-06-10,35.66,36.69,36.9,37.7,36.7375
10,1980-06-11,36.28,37.03,37.18,37.85,37.085
11,1980-06-12,37.57,38.49,38.95,39.66,38.667500000000004
12,1980-06-13,36.09,37.46,37.49,38.86,37.47500000000001
13,1980-06-14,35.93,36.8,37.61,37.56,36.974999999999994
14,1980-06-15,34.47,35.63,35.84,36.66,35.65
15,1980-06-16,33.77,34.79,35.4,36.05,35.0025
16,1980-06-17,35.33,36.13,36.5,37.25,36.3025
17,1980-06-18,35.97,36.78,37.46,37.93,37.035000000000004
18,1980-06-19,35.38,36.6,37.9,37.82,36.925
19,1980-06-20,36.42,37.32,38.74,38.42,37.72500000000001
20,1980-06-21,35.76,35.72,37.15,36.74,36.3425
21,1980-06-22,33.37,32.19,33.64,32.41,32.9025
22,1980-06-23,31.5,29.84,30.42,30.59,30.587500000000002
23,1980-06-24,31.95,31.64,32.29,32.68,32.14
24,1980-06-25,30.02,28.35,30.78,28.87,29.505000000000003
25,1980-06-26,28.86,26.64,28.9,27.16,27.89
26,1980-06-27,29.03,28.73,29.03,28.92,28.927500000000002
27,1980-06-28,29.96,28.73,29.28,29.09,29.265
28,1980-06-29,30.08,29.32,30.04,29.6,29.759999999999998
29,1980-06-30,31.36,30.63,30.75,30.84,30.895
30,1980-07-01,30.71,30.78,30.69,31.29,30.8675
31,1980-07-02,31.46,31.17,31.87,31.98,31.62
32,1980-07-03,28.96,28.67,31.09,30.57,29.822499999999998
33,1980-07-04,30.11,29.57,30.31,29.85,29.96
34,1980-07-05,29.9,29.34,28.92,29.79,29.487499999999997
35,1980-07-06,29.81,29.06,29.52,29.55,29.485
36,1980-07-07,29.17,28.41,29.51,29.38,29.1175
37,1980-07-08,28.8,29.28,30.64,30.35,29.7675
38,1980-07-09,29.97,29.97,30.61,30.86,30.3525
39,1980-07-10,31.16,30.9,31.39,31.03,31.12
40,1980-07-11,31.41,30.22,31.14,30.47,30.81
41,1980-07-12,31.11,30.43,30.6,30.31,30.6125
42,1980-07-13,31.16,30.31,30.91,30.72,30.775
43,1980-07-14,30.54,29.82,30.58,30.19,30.2825
44,1980-07-15,31.21,30.45,30.94,30.44,30.759999999999998
45,1980-07-16,31.93,30.95,31.54,31.14,31.389999999999997
46,1980-07-17,31.41,30.43,31.31,30.72,30.9675
47,1980-07-18,32.08,31.99,31.54,32.48,32.022499999999994
48,1980-07-19,30.99,30.73,31.38,30.7,30.95
49,1980-07-20,32.12,31.3,32.05,31.45,31.73
50,1980-07-21,31.62,31.69,31.59,31.98,31.720000000000002
51,1980-07-22,31.79,31.72,31.64,32.05,31.8
52,1980-07-23,32.15,31.92,31.89,32.3,32.065
53,1980-07-24,32.26,31.79,32.37,32.34,32.19
54,1980-07-25,30.93,30.24,30.78,30.48,30.6075
55,1980-07-26,29.0,28.58,28.83,29.27,28.919999999999998
56,1980-07-27,28.84,29.0,28.89,29.65,29.095
57,1980-07-28,27.83,27.83,27.75,28.1,27.877499999999998
58,1980-07-29,28.89,28.27,28.43,28.2,28.4475
59,1980-07-30,30.65,30.31,30.58,30.34,30.47
60,1980-07-31,28.68,28.5,28.97,29.56,28.927500000000002
61,1980-08-01,28.28,28.44,29.04,29.95,28.9275
62,1980-08-02,28.23,28.06,28.02,28.31,28.155
63,1980-08-03,28.3,27.67,28.42,28.29,28.17
64,1980-08-04,26.94,26.79,27.11,28.2,27.26
65,1980-08-05,29.01,28.46,29.1,29.07,28.909999999999997
66,1980-08-06,27.27,26.49,27.47,27.6,27.207499999999996
67,1980-08-07,25.07,24.89,25.3,25.25,25.1275
68,1980-08-08,26.91,26.27,26.61,26.14,26.482499999999998
69,1980-08-09,27.43,27.34,27.55,27.57,27.472499999999997
70,1980-08-10,28.4,28.13,28.67,28.92,28.53
71,1980-08-11,29.39,29.34,29.73,29.97,29.6075
72,1980-08-12,29.19,28.93,29.57,29.51,29.3
73,1980-08-13,30.19,29.56,30.22,29.57,29.884999999999998
