,DateTime,22.3998 75.4489,22.4252 76.2179,23.0783 75.4211,23.0812 76.1904,tmin_mean
0,2001-06-01,25.82,26.58,26.04,26.91,26.3375
1,2001-06-02,26.07,26.73,26.12,26.97,26.4725
2,2001-06-03,25.32,26.58,25.51,26.69,26.025
3,2001-06-04,24.75,24.89,25.19,25.09,24.98
4,2001-06-05,25.37,25.02,25.35,24.96,25.175000000000004
5,2001-06-06,25.81,25.2,25.31,25.29,25.402499999999996
6,2001-06-07,24.77,24.58,25.4,24.79,24.884999999999998
7,2001-06-08,24.47,24.22,24.32,24.1,24.277499999999996
8,2001-06-09,23.98,25.18,24.04,25.33,24.632499999999997
9,2001-06-10,22.74,23.12,22.93,23.17,22.99
10,2001-06-11,23.89,23.72,24.59,24.51,24.177500000000002
11,2001-06-12,23.82,24.83,24.3,25.66,24.6525
12,2001-06-13,23.53,23.46,23.49,23.7,23.545
13,2001-06-14,22.36,22.02,22.4,22.09,22.2175
14,2001-06-15,22.36,22.15,22.28,22.58,22.342499999999998
15,2001-06-16,22.36,21.51,22.03,22.22,22.03
16,2001-06-17,23.02,22.97,22.81,23.04,22.96
17,2001-06-18,22.31,22.2,22.54,23.31,22.59
18,2001-06-19,22.89,22.41,23.42,23.43,23.0375
19,2001-06-20,23.61,22.93,23.62,23.19,23.3375
20,2001-06-21,23.91,23.8,24.24,24.61,24.14
21,2001-06-22,23.81,24.0,24.13,24.64,24.145
22,2001-06-23,24.48,24.21,24.95,25.27,24.7275
23,2001-06-24,24.75,25.15,25.05,25.79,25.185000000000002
24,2001-06-25,24.26,24.37,24.22,24.29,24.284999999999997
25,2001-06-26,24.66,24.22,24.4,24.02,24.325
26,2001-06-27,24.64,24.89,24.72,25.13,24.845
27,2001-06-28,24.09,23.83,24.36,24.45,24.1825
28,2001-06-29,24.86,24.99,24.86,25.19,24.974999999999998
29,2001-06-30,24.04,23.18,23.46,23.16,23.46
30,2001-07-01,22.34,22.01,22.21,22.15,22.177500000000002
31,2001-07-02,22.71,22.49,22.3,22.14,22.41
32,2001-07-03,22.8,22.64,22.63,22.57,22.659999999999997
33,2001-07-04,22.98,22.96,22.85,22.81,22.9
34,2001-07-05,22.63,22.86,22.86,23.18,22.8825
35,2001-07-06,22.71,22.97,22.96,23.5,23.035
36,2001-07-07,23.66,23.94,23.8,24.34,23.935000000000002
37,2001-07-08,23.19,24.0,23.19,23.75,23.5325
38,2001-07-09,23.78,23.56,23.44,23.53,23.5775
39,2001-07-10,23.17,22.98,23.13,23.18,23.115000000000002
40,2001-07-11,22.9,23.1,22.78,23.16,22.985
41,2001-07-12,22.72,22.73,22.74,23.1,22.822499999999998
42,2001-07-13,22.65,22.77,22.79,23.22,22.8575
43,2001-07-14,22.64,22.83,22.83,23.17,22.8675
44,2001-07-15,22.75,22.88,22.94,23.24,22.952499999999997
45,2001-07-16,22.22,22.41,21.91,22.34,22.22
46,2001-07-17,22.34,22.55,22.53,22.91,22.5825
47,2001-07-18,22.41,22.75,22.72,23.3,22.794999999999998
48,2001-07-19,23.09,23.44,23.23,23.74,23.375
49,2001-07-20,23.11,23.32,23.29,23.53,23.3125
50,2001-07-21,23.32,22.85,23.36,23.16,23.1725
51,2001-07-22,22.61,22.78,22.57,22.93,22.722500000000004
52,2001-07-23,22.54,22.48,22.6,22.47,22.5225
53,2001-07-24,22.54,22.77,22.54,23.04,22.722499999999997
54,2001-07-25,22.78,23.05,22.93,23.34,23.025
55,2001-07-26,23.01,23.21,23.06,23.4,23.17
56,2001-07-27,22.86,23.49,22.93,23.82,23.275
57,2001-07-28,23.31,23.64,23.48,23.86,23.5725
58,2001-07-29,22.74,23.2,23.03,23.73,23.175
59,2001-07-30,22.3,22.59,22.4,22.9,22.5475
60,2001-07-31,23.04,23.54,23.11,23.79,23.369999999999997
61,2001-08-01,22.84,23.24,22.99,23.52,23.147499999999997
62,2001-08-02,22.7,23.16,22.99,23.66,23.127499999999998
63,2001-08-03,22.74,22.9,22.9,23.0,22.884999999999998
64,2001-08-04,23.7,23.84,23.92,24.29,23.9375
