Time,Soil_water_l3
2001-06-01,25.107445
2001-06-02,25.155214
2001-06-03,25.123583
2001-06-04,25.01439
2001-06-05,24.947275
2001-06-06,25.080307
2001-06-07,25.191671
2001-06-08,25.196749
2001-06-09,25.034262
2001-06-10,24.9441
2001-06-11,24.817663
2001-06-12,24.79175
2001-06-13,24.843454
2001-06-14,24.94928
2001-06-15,25.114504
2001-06-16,25.30697
2001-06-17,27.211641
2001-06-18,29.680593
2001-06-19,30.837408
2001-06-20,31.230768
2001-06-21,31.18041
2001-06-22,30.976082
2001-06-23,30.872475
2001-06-24,30.684256
2001-06-25,30.42145
2001-06-26,30.25279
2001-06-27,30.003374
2001-06-28,29.682745
2001-06-29,29.516329
2001-06-30,29.443344
2001-07-01,29.409576
2001-07-02,29.429306
2001-07-03,29.549334
2001-07-04,29.585663
2001-07-05,29.636024
2001-07-06,29.632666
2001-07-07,29.608007
2001-07-08,29.387087
2001-07-09,29.423538
2001-07-10,29.67703
2001-07-11,30.878517
2001-07-12,31.515762
2001-07-13,31.865896
2001-07-14,31.962194
2001-07-15,32.104202
2001-07-16,32.19076
2001-07-17,32.376263
2001-07-18,32.41682
2001-07-19,32.791283
2001-07-20,33.234074
2001-07-21,33.59259
2001-07-22,34.528572
2001-07-23,35.54236
2001-07-24,36.719006
2001-07-25,37.293766
2001-07-26,37.379734
2001-07-27,37.352276
2001-07-28,37.27629
2001-07-29,37.18179
2001-07-30,37.11545
2001-07-31,37.021442
2001-08-01,36.86444
2001-08-02,36.5815
2001-08-03,36.44253
2001-08-04,36.3387
2001-08-05,36.727833
2001-08-06,37.45924
2001-08-07,38.61016
2001-08-08,39.040882
2001-08-09,39.34982
2001-08-10,39.738094
2001-08-11,40.540127
2001-08-12,42.04867
2001-08-13,42.635307
2001-08-14,43.150158
2001-08-15,44.31255
2001-08-16,46.047012
2001-08-17,46.257244
2001-08-18,46.092587
2001-08-19,45.738857
2001-08-20,45.41365
2001-08-21,45.133743
2001-08-22,44.858166
2001-08-23,44.58629
2001-08-24,44.37224
2001-08-25,44.114773
2001-08-26,43.873463
2001-08-27,43.605225
2001-08-28,43.293274
2001-08-29,42.986652
2001-08-30,42.654797
2001-08-31,42.350098
2001-09-01,42.078556
2001-09-02,41.785206
2001-09-03,41.440426
2001-09-04,41.054527
2001-09-05,40.658722
2001-09-06,40.215973
2001-09-07,39.764656
2001-09-08,39.20373
2001-09-09,38.79334
2001-09-10,38.27511
2001-09-11,37.563786
2001-09-12,37.1101
2001-09-13,36.761047
2001-09-14,36.406307
2001-09-15,36.28555
2001-09-16,36.07269
2001-09-17,36.05963
2001-09-18,35.90642
2001-09-19,35.587746
2001-09-20,35.21513
2001-09-21,34.89083
2001-09-22,34.52718
2001-09-23,34.014484
2001-09-24,33.53768
2001-09-25,33.291576
2001-09-26,33.3633
2001-09-27,33.344364
2001-09-28,33.09432
2001-09-29,32.596653
2001-09-30,32.009304
2001-10-01,31.895401
2001-10-02,31.81639
2001-10-03,31.81719
2001-10-04,31.48748
2001-10-05,31.263489
2001-10-06,31.002424
2001-10-07,30.738213
2001-10-08,30.366112
2001-10-09,30.039976
2001-10-10,30.033577
2001-10-11,29.98641
2001-10-12,29.976187
2001-10-13,29.832804
2001-10-14,29.63622
2001-10-15,29.351286
2001-10-16,29.068476
2001-10-17,28.913935
2001-10-18,28.529306
2001-10-19,28.189644
2001-10-20,27.792742
2001-10-21,27.456743
2001-10-22,27.294273
2001-10-23,27.03254
2001-10-24,26.790657
2001-10-25,26.724579
2001-10-26,26.671814
2001-10-27,26.605337
2001-10-28,26.52246
2001-10-29,26.509542
2001-10-30,26.620888
2001-10-31,26.73571
2001-11-01,26.885086
2001-11-02,27.081495
2001-11-03,27.249044
2001-11-04,27.301577
2001-11-05,27.206957
2001-11-06,27.092962
2001-11-07,27.246584
2001-11-08,27.495115
2001-11-09,27.54231
2001-11-10,27.575638
2001-11-11,27.48796
2001-11-12,27.456518
2001-11-13,27.338465
2001-11-14,27.407076
2001-11-15,27.504683
2001-11-16,27.344183
2001-11-17,27.130358
2001-11-18,27.103155
2001-11-19,27.25489
2001-11-20,27.324677
2001-11-21,27.28768
2001-11-22,27.415977
2001-11-23,27.4378
2001-11-24,27.445847
2001-11-25,27.553736
2001-11-26,27.653952
2001-11-27,27.806005
2001-11-28,27.895521
2001-11-29,27.855288
2001-11-30,27.766808
2002-06-01,26.2529
2002-06-02,26.282373
2002-06-03,26.23152
2002-06-04,26.336496
2002-06-05,26.506556
2002-06-06,26.487175
2002-06-07,26.089922
2002-06-08,25.63225
2002-06-09,25.525185
2002-06-10,25.887125
2002-06-11,26.284327
2002-06-12,26.85334
2002-06-13,27.047714
2002-06-14,27.236654
2002-06-15,27.103119
2002-06-16,26.832163
2002-06-17,26.645363
2002-06-18,26.75698
2002-06-19,26.650627
2002-06-20,26.478144
2002-06-21,26.488932
2002-06-22,26.563416
2002-06-23,26.75821
2002-06-24,26.714552
2002-06-25,27.055328
2002-06-26,28.305937
2002-06-27,29.368195
2002-06-28,30.317144
2002-06-29,31.791983
2002-06-30,33.309834
2002-07-01,33.71515
2002-07-02,33.72304
2002-07-03,33.503128
2002-07-04,33.322216
2002-07-05,33.031815
2002-07-06,32.680687
2002-07-07,32.28132
2002-07-08,31.903257
2002-07-09,31.550974
2002-07-10,30.968454
2002-07-11,30.542494
2002-07-12,30.25033
2002-07-13,29.940153
2002-07-14,29.638704
2002-07-15,29.324144
2002-07-16,29.125925
2002-07-17,29.01491
2002-07-18,28.910461
2002-07-19,28.898321
2002-07-20,28.89018
2002-07-21,28.903708
2002-07-22,28.943869
2002-07-23,28.91266
2002-07-24,28.786667
2002-07-25,28.857758
2002-07-26,28.789675
2002-07-27,28.694565
2002-07-28,28.592619
2002-07-29,28.453913
2002-07-30,28.362555
2002-07-31,28.314032
2002-08-01,28.231466
2002-08-02,28.172316
2002-08-03,28.274584
2002-08-04,28.672018
2002-08-05,29.507118
2002-08-06,31.051994
2002-08-07,32.827686
2002-08-08,34.463978
2002-08-09,35.348385
2002-08-10,35.759876
2002-08-11,35.95463
2002-08-12,36.180477
2002-08-13,36.379025
2002-08-14,36.486233
2002-08-15,36.572193
2002-08-16,37.063816
2002-08-17,39.536343
2002-08-18,41.08215
2002-08-19,42.5027
2002-08-20,43.308
2002-08-21,43.63133
2002-08-22,43.527294
2002-08-23,43.498432
2002-08-24,44.351215
2002-08-25,45.359844
2002-08-26,45.48891
2002-08-27,45.271618
2002-08-28,44.999023
2002-08-29,44.734234
2002-08-30,44.781307
2002-08-31,45.76732
2002-09-01,46.35316
2002-09-02,46.903133
2002-09-03,48.14088
2002-09-04,49.096924
2002-09-05,48.82111
2002-09-06,48.13146
2002-09-07,47.553074
2002-09-08,47.061035
2002-09-09,46.613888
2002-09-10,46.195072
2002-09-11,45.76454
2002-09-12,45.33578
2002-09-13,44.927776
2002-09-14,44.512127
2002-09-15,44.085453
2002-09-16,43.66396
2002-09-17,43.291706
2002-09-18,42.944332
2002-09-19,42.63426
2002-09-20,42.33299
2002-09-21,41.996796
2002-09-22,41.574306
2002-09-23,41.077007
2002-09-24,40.659103
2002-09-25,40.31647
2002-09-26,39.908806
2002-09-27,39.519695
2002-09-28,39.07727
2002-09-29,38.630825
2002-09-30,38.23505
2002-10-01,37.932133
2002-10-02,37.548786
2002-10-03,37.15729
2002-10-04,36.732914
2002-10-05,36.356724
2002-10-06,36.02351
2002-10-07,35.571957
2002-10-08,35.334793
2002-10-09,35.076824
2002-10-10,34.72829
2002-10-11,34.368847
2002-10-12,34.194508
2002-10-13,34.332714
2002-10-14,34.165146
2002-10-15,33.77124
2002-10-16,33.51273
2002-10-17,33.316498
2002-10-18,32.898476
2002-10-19,32.191105
2002-10-20,31.755867
2002-10-21,31.406937
2002-10-22,30.94461
2002-10-23,30.714426
2002-10-24,30.299372
2002-10-25,29.923546
2002-10-26,29.699478
2002-10-27,29.651896
2002-10-28,29.62059
2002-10-29,29.591158
2002-10-30,29.56281
2002-10-31,29.445765
2002-11-01,29.421837
2002-11-02,29.218946
2002-11-03,29.32405
2002-11-04,29.566505
2002-11-05,29.611176
2002-11-06,29.379007
2002-11-07,29.353247
2002-11-08,29.410486
2002-11-09,29.259993
2002-11-10,29.193115
2002-11-11,29.223013
2002-11-12,29.086325
2002-11-13,29.026232
2002-11-14,28.965498
2002-11-15,28.74766
2002-11-16,28.577887
2002-11-17,28.26404
2002-11-18,27.785013
2002-11-19,27.447906
2002-11-20,27.34556
2002-11-21,27.178473
2002-11-22,27.12352
2002-11-23,27.164297
2002-11-24,27.241821
2002-11-25,27.279963
2002-11-26,27.237373
2002-11-27,27.048767
2002-11-28,26.940634
2002-11-29,26.978455
2002-11-30,27.112722
2003-06-01,23.83937
2003-06-02,23.78167
2003-06-03,23.660845
2003-06-04,23.518011
2003-06-05,23.384264
2003-06-06,23.317337
2003-06-07,23.26256
2003-06-08,23.27453
2003-06-09,23.31311
2003-06-10,23.275736
2003-06-11,23.183554
2003-06-12,23.193274
2003-06-13,23.328573
2003-06-14,23.41231
2003-06-15,23.489058
2003-06-16,23.306845
2003-06-17,23.168129
2003-06-18,23.110888
2003-06-19,23.0673
2003-06-20,23.086035
2003-06-21,24.538992
2003-06-22,27.4297
2003-06-23,32.76549
2003-06-24,33.771175
2003-06-25,34.24541
2003-06-26,34.512928
2003-06-27,34.474697
2003-06-28,34.37573
2003-06-29,34.403767
2003-06-30,34.39481
2003-07-01,34.319798
2003-07-02,34.508396
2003-07-03,34.74643
2003-07-04,34.903267
2003-07-05,35.483425
2003-07-06,36.429256
2003-07-07,37.03259
2003-07-08,37.417515
2003-07-09,37.637535
2003-07-10,37.636982
2003-07-11,37.731953
2003-07-12,37.942696
2003-07-13,38.105473
2003-07-14,38.128967
2003-07-15,38.39943
2003-07-16,39.665607
2003-07-17,40.62944
2003-07-18,40.863613
2003-07-19,40.896053
2003-07-20,40.92392
2003-07-21,41.11446
2003-07-22,41.390057
2003-07-23,44.225765
2003-07-24,45.497784
2003-07-25,45.623318
2003-07-26,45.54804
2003-07-27,46.469387
